"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1968 "enero" "1968-01-01" "Bucaramanga" NA
1968 "febrero" "1968-02-01" "Bucaramanga" NA
1968 "marzo" "1968-03-01" "Bucaramanga" NA
1968 "abril" "1968-04-01" "Bucaramanga" NA
1968 "mayo" "1968-05-01" "Bucaramanga" NA
1968 "junio" "1968-06-01" "Bucaramanga" NA
1968 "julio" "1968-07-01" "Bucaramanga" NA
1968 "agosto" "1968-08-01" "Bucaramanga" NA
1968 "septiembre" "1968-09-01" "Bucaramanga" NA
1968 "octubre" "1968-10-01" "Bucaramanga" NA
1968 "noviembre" "1968-11-01" "Bucaramanga" NA
1968 "diciembre" "1968-12-01" "Bucaramanga" NA
1969 "enero" "1969-01-01" "Bucaramanga" NA
1969 "febrero" "1969-02-01" "Bucaramanga" NA
1969 "marzo" "1969-03-01" "Bucaramanga" NA
1969 "abril" "1969-04-01" "Bucaramanga" NA
1969 "mayo" "1969-05-01" "Bucaramanga" NA
1969 "junio" "1969-06-01" "Bucaramanga" NA
1969 "julio" "1969-07-01" "Bucaramanga" NA
1969 "agosto" "1969-08-01" "Bucaramanga" NA
1969 "septiembre" "1969-09-01" "Bucaramanga" NA
1969 "octubre" "1969-10-01" "Bucaramanga" NA
1969 "noviembre" "1969-11-01" "Bucaramanga" NA
1969 "diciembre" "1969-12-01" "Bucaramanga" NA
1970 "enero" "1970-01-01" "Bucaramanga" NA
1970 "febrero" "1970-02-01" "Bucaramanga" NA
1970 "marzo" "1970-03-01" "Bucaramanga" NA
1970 "abril" "1970-04-01" "Bucaramanga" NA
1970 "mayo" "1970-05-01" "Bucaramanga" NA
1970 "junio" "1970-06-01" "Bucaramanga" NA
1970 "julio" "1970-07-01" "Bucaramanga" NA
1970 "agosto" "1970-08-01" "Bucaramanga" NA
1970 "septiembre" "1970-09-01" "Bucaramanga" NA
1970 "octubre" "1970-10-01" "Bucaramanga" NA
1970 "noviembre" "1970-11-01" "Bucaramanga" NA
1970 "diciembre" "1970-12-01" "Bucaramanga" NA
1971 "enero" "1971-01-01" "Bucaramanga" NA
1971 "febrero" "1971-02-01" "Bucaramanga" NA
1971 "marzo" "1971-03-01" "Bucaramanga" NA
1971 "abril" "1971-04-01" "Bucaramanga" NA
1971 "mayo" "1971-05-01" "Bucaramanga" NA
1971 "junio" "1971-06-01" "Bucaramanga" NA
1971 "julio" "1971-07-01" "Bucaramanga" NA
1971 "agosto" "1971-08-01" "Bucaramanga" NA
1971 "septiembre" "1971-09-01" "Bucaramanga" NA
1971 "octubre" "1971-10-01" "Bucaramanga" NA
1971 "noviembre" "1971-11-01" "Bucaramanga" NA
1971 "diciembre" "1971-12-01" "Bucaramanga" NA
1972 "enero" "1972-01-01" "Bucaramanga" NA
1972 "febrero" "1972-02-01" "Bucaramanga" NA
1972 "marzo" "1972-03-01" "Bucaramanga" NA
1972 "abril" "1972-04-01" "Bucaramanga" NA
1972 "mayo" "1972-05-01" "Bucaramanga" NA
1972 "junio" "1972-06-01" "Bucaramanga" NA
1972 "julio" "1972-07-01" "Bucaramanga" NA
1972 "agosto" "1972-08-01" "Bucaramanga" NA
1972 "septiembre" "1972-09-01" "Bucaramanga" NA
1972 "octubre" "1972-10-01" "Bucaramanga" NA
1972 "noviembre" "1972-11-01" "Bucaramanga" NA
1972 "diciembre" "1972-12-01" "Bucaramanga" NA
1973 "enero" "1973-01-01" "Bucaramanga" NA
1973 "febrero" "1973-02-01" "Bucaramanga" NA
1973 "marzo" "1973-03-01" "Bucaramanga" NA
1973 "abril" "1973-04-01" "Bucaramanga" NA
1973 "mayo" "1973-05-01" "Bucaramanga" NA
1973 "junio" "1973-06-01" "Bucaramanga" NA
1973 "julio" "1973-07-01" "Bucaramanga" NA
1973 "agosto" "1973-08-01" "Bucaramanga" NA
1973 "septiembre" "1973-09-01" "Bucaramanga" NA
1973 "octubre" "1973-10-01" "Bucaramanga" NA
1973 "noviembre" "1973-11-01" "Bucaramanga" NA
1973 "diciembre" "1973-12-01" "Bucaramanga" NA
1974 "enero" "1974-01-01" "Bucaramanga" NA
